acronym,count,expansion_example
AD,9222,s disease
CKD,7276,An association of chronic kidney disease
CI,5859,confidence interval
DM,3701,Diabetes mellitus
MI,3471,Myocardial infarction
BP,3442,Biological Process
BMI,2733,did not find associations between body mass index
IL,2258,We found that levels of interleukin
T2DM,2107,diabetes mellitus
SD,2001,Standard deviation
GDM,1968,Gestational diabetes mellitus
PMID,1912,code	Phenotype Description	AD GWAS
II,1912,Walker MJ The Lambeth Conventions
COVID,1743,
CT,1644,computed tomography
HR,1606,non-sex-specific cancers showed that the estimated hazard ratio
DNA,1569,lipid accumulation and deoxyribonucleic acid
HDL,1522,density lipoprotein
CVD,1517,cardiovascular diseases
MA,1407,the most frequent underlying cause of metabolic acidosis
AMI,1319,with the mortality rate of acute myocardial infarction
SBP,1306,Systolic blood pressure
BMC,1264,
RNA,1261,histone modification and non-coding ribonucleic acid
LV,1178,Heart rate and left ventricular
URL,1147,th percentile upper reference limit
CSF,1142,that high levels of serum and cerebrospinal fluid
PET,1119,positron emission tomography
ST,1100,that FST gene expression in the slow twitch
III,1049,Biguanide iridium
GFR,1029,cause of anaemia when the glomerular filtration rate
MS,1024,multiple sclerosis
CA,1021,the carbonic anhydrase
MRI,1017,the necrotic core region on magnetic resonance imaging
UK,1009,the National Hospital for Neurology and Neurosurgery London
EGFR,996,epidermal growth factor receptor
MR,966,a two-sample Mendelian randomized
DBP,956,and diastolic blood pressure
NSCLC,953,induces the apoptosis of non-small cell lung cancer
AKI,948,h after induction of severe acute kidney injury
LDL,896,trial demonstrated that intensive low-density lipoprotein
S1,888,
APOE,883,allele of the apolipoprotein E
MJ,877,
CRIC,874,Findings From the Chronic Renal Insufficiency Cohort
JM,868,
APP,849,amyloid precursor protein
CC,805,DM and the risk of cholangiocarcinoma
RR,788,The authors also investigated the relative risk
JA,787,and a scientist from the sponsoring organization
T1DM,780,diabetes mellitus
STEMI,765,patients with acute ST-segment elevation myocardial infarction
TNF,749,activity in return by inhibiting tumor necrosis factor
IV,727,while convenience may favour intravenous
MCI,723,s disease and mild cognitive impairment
TC,722,abdominal obesity and a significantly higher total cholesterol
AM,718,in consultation with a neurologist
SM,710,We found that distinct sphingolipid species including sphingomyelin
TG,702,and triglycerides
JAMA,696,
WHO,693,to data obtained from the World Health Organization
AF,680,increase in the risk of atrial fibrillation
PCR,679,The results from the methylation-sensitive polymerase chain reaction
ESRD,673,End-stage renal disease
PD,669,s disease
AA,652,Arachidonic acid
WT,652,following IRI did not differ between wild type
ADNI,650,s Disease Neuroimaging Initiative
HF,649,heart failure
S0140,644,
AUC,636,The area under the curve
PC,624,associated with the highest risk of pancreatic cancer
SH,622,and sustained hypertension
IQR,614,interquartile range
ROS,608,the production of reactive oxygen species
NS,607,LPS and no LPS
PA,601,Palmitic acid
MMP,596,and matrix metalloproteinase
LA,595,linoleic acid
US,594,Institute of Diabetes and Digestive and Kidney Diseases
TGF,589,Dobaczewski MarcinWei C Nikolaos F Transforming growth factor
OS,587,ROS in high levels may cause oxidative stress
HT,585,days after heart transplant
DR,579,Diabetic retinopathy
RA,572,As in the previous module The Renal Association
JL,571,
PCI,571,concentration after percutaneous coronary intervention
ACE,567,such as angiotensin-converting enzyme
CM,562,widths of the cardiomyocytes
ML,549,and machine learning
SA,541,analysis about selected compounds is their synthetic accessibility
JC,539,and visual inspection by a trained neuroimaging analyst
COPD,538,chronic obstructive pulmonary disease
DA,533,pez Alcalde S Assessing the diagnostic accuracy
ECG,523,suitable for evaluating the similarity of time series
