stratum,pmcid,n_lines,n_chars,title
short,PMC5444287,54,1790,A Comparative Analysis of Structural Brain MRI in the Diagnosis of Alzheimer’s Disease
short,PMC2024828,36,2721,Proceedings: Humoral immunity in human lung neoplasms
short,PMC12726608,70,3083,Hypertension's underestimated role in dementia
short,PMC12438852,72,3286,The relationship between depressive symptoms and medication adherence among individuals with hypertension: An updated systematic review
short,PMC12760238,47,3471,Mechanisms of Generating Health Disparities in the Risk of Alzheimer’s Disease
short,PMC10737162,58,3729,AGE-SPECIFIC POPULATION ATTRIBUTABLE FRACTIONS FOR THE IMPACT OF HYPERTENSION ON INCIDENT DEMENTIA
short,PMC13137938,96,6203,Methodological Considerations in Interpreting Mortality Trends in Aortic Dissection Among Hypertensive Adults
short,PMC7598962,85,6829,Type 2 Myocardial Infarction Resulted from the Left Thoracic Stomach
short,PMC11254205,107,7746,A commentary on ‘Impact of lymphadenectomy extent on immunotherapy efficacy in postresectional recurred non-small cell lung cancer: a multi-institutional retrospective cohort study’
short,PMC11093495,110,8001,A commentary on ‘Organ preservation strategies after neoadjuvant chemoimmunotherapy in resectable non-small cell lung cancer: a multicenter retrospective cohort study’
short,PMC5287964,111,8369,Not only for melanoma. Subcutaneous pseudoprogression in lung squamous-cell carcinoma treated with nivolumab: A case report
short,PMC10754309,75,10387,A Rare Pathology Masquerading as Myocardial Infarction
short,PMC3207949,101,10605,Mucoepidermoid carcinoma of the lung: a case report
short,PMC10924494,298,10805,Ultrasound Guided Biopsy among Patients with Lung Lesions Undergoing Procedures in Interventional Radiology of a Tertiary Care Centre
short,PMC11392149,151,11057,Assessment of surgery delay-associated risk in resectable stages I–IIIA non-small-cell lung cancer
short,PMC8028515,149,11340,Prevalence of Type II Diabetes Mellitus Among Adult Population in Medical Department of A Tertiary Care Centre
short,PMC2808666,100,11755,Chronic kidney disease and small renal tumors: What urologists should know?
short,PMC5728943,130,11985,Endobronchial hamartoma mimicking malignant lung tumor contralateral endobronchial metastasis: A case report
short,PMC3620691,99,12185,Delayed ventricular septal rupture complicating acute inferior wall myocardial infarction
short,PMC6000574,165,12219,Interpretation of IASLC/ATS/ERS International Multidisciplinary Classifcation of Lung Neoplasms
short,PMC5815687,134,12417,Synchronous diffuse large B-cell lymphoma of the stomach and small cell lung carcinoma: A case report
short,PMC10725226,200,12503,Diabetes Mellitus among Patients with Non-alcoholic Fatty Liver Disease Visiting the Outpatient Department of Internal Medicine in a Tertiary Care Centre
short,PMC12778126,126,12656,Thoracic splenosis initially misdiagnosed as lung neoplasms: An unusual case and literature review
short,PMC10795236,144,12693,A rare case: Endobronchial solitary mixed papilloma
short,PMC4772370,149,12752,Sudden death associated with silent myocardial infarction in a 35-year-old man: a case report
short,PMC6392996,132,13058,Concomitant coronary and pulmonary embolism associated with patent foramen ovale: A case report
short,PMC5369930,127,13268,Giant hepatic metastasis in a patient with coin-like small cell lung carcinoma incidentally diagnosed at autopsy: A case report
short,PMC6000097,177,13658,Radiofrequency Ablation for Lung Neoplasms with Isolated Postsurgical Local Recurrences or Metastases of Non-small Cell Lung Cancer
short,PMC5999712,185,13728,Survival after Radiofrequency Ablation for 100 Cases of Lung Neoplasms
short,PMC5999988,231,13740,Radiofrequency Ablation for the Treatment of Lung Neoplasms: A Retrospective Study of 329 Cases
short,PMC8283556,153,13742,Analysis of Estimated and Measured Glomerular Filtration Rates and the CKD-EPI Equation Race Coefficient in the Chronic Renal Insufficiency Cohort Study
short,PMC11203558,82,13858,Immune Checkpoint Inhibitors in Non-Small Cell Lung Cancer (NSCLC) Treatment: Quo Vadis?
short,PMC5728893,135,13865,Tonsillar metastasis of nonsmall cell lung cancer with G719S mutation in exon 18: A case report
short,PMC5999662,195,14040,Stereotactic Body Radiaton Therapy for 15 Patients with Small Lung Neoplasms
short,PMC9107826,114,14290,Silent Myocardial Infarction and Acute Multiorgan Failure in a COVID-19 Patient: A Case Report
short,PMC10924502,235,14737,Diabetes Mellitus among Patients with Acute Ischemic Stroke Admitted to the Department of Medicine in a Tertiary Care Centre
short,PMC5207586,127,14782,Sudden death due to ventricular double rupture as a complication of inferior acute myocardial infarction: A case report
short,PMC8137086,160,15118,The effect of concomitant chronic kidney disease on the recurrence of atrial fibrillation after catheter ablation: A protocol for systematic review and meta-analysis
short,PMC6741394,117,15322,Primary Pulmonary Involvement in Mucosa-associated Lymphoid Tissue Lymphoma
short,PMC2888343,189,15325,"Prevalence, Awareness, Treatment, and Control of Hypertension in Rural Areas of Davanagere"
short,PMC8500622,151,15447,Risk factors for anemia in patients with chronic kidney disease: A protocol for systematic review and meta-analysis
short,PMC5457896,131,15648,Case report of 2 sudden deaths after surgery for bone fracture: Usefulness of immunohistochemical analysis of coronary artery for identifying acute myocardial infarction
short,PMC5406079,124,15830,Risk factors and prognosis of pulmonary embolism in patients with lung cancer
short,PMC5301382,162,15957,Early detection of myocardial infarction following blunt chest trauma by computed tomography: a case report
short,PMC9297346,198,15983,Diabetes Mellitus among Adult Outpatients Visiting a Tertiary Care Centre: A Descriptive Cross-sectional Study
short,PMC11485294,141,16299,Insufficient evidence for an association between iatrogenic Alzheimer's disease and cadaveric pituitary‐derived growth hormone
short,PMC10579777,284,16309,Dyslipidemia among Patients with Type 2 Diabetes Mellitus Visiting a Tertiary Care Centre
short,PMC1395330,102,16357,Left ventricular free wall impeding rupture in post-myocardial infarction period diagnosed by myocardial contrast echocardiography: Case report
short,PMC6300886,134,16410,Heterogeneity of Alzheimer’s disease: consequence for drug trials?
short,PMC5895306,160,16586,Statin in the treatment of patients with myocardial infarction: A meta-analysis
short,PMC6824746,152,16646,Paget disease of bone in an elderly patient with chronic renal disease and weight loss: A case report
short,PMC4169830,149,16702,Recurrent hypoglycaemia in type-1 diabetes mellitus may unravel the association with Addison’s disease: a case report
short,PMC12276399,135,17030,A Novel CLTC::RPS6KB1 Fusion in a Poorly Differentiated Carcinoma Involving the Lung and Mediastinum
short,PMC7436637,85,17091,Imminent risk of COVID-19 in diabetes mellitus and undiagnosed diabetes mellitus patients
short,PMC4667510,136,17285,Transient Neonatal Diabetes Mellitus followed by recurrent asymptomatic hypoglycaemia: a case report
short,PMC5457881,126,18034,Atrial fibrillation was changed into sinus bradycardia in a ROS1-positive advanced lung adenocarcinoma patient who achieved durable response to Crizotinib: A case report and literature review
short,PMC7757917,111,18134,Use of Intracoronary Thrombolysis for Huge Thrombus Burden in an Ectatic Right Coronary Artery
short,PMC5571705,144,18176,Two-portal versus three-port video-assist thoracoscopic surgery for early stage nonsmall cell lung cancer: A retrospective study
short,PMC11018926,150,18293,Uniportal video-assisted thoracoscopic segmentectomy for fetal adenocarcinoma lung cancer with severe pulmonary emphysema: a case report
short,PMC2999601,148,18527,Three-dimension structure of ventricular myocardial fibers after myocardial infarction
